date,code,usdprice
#date,#meta+code,#value+usd
2015-01-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,87.93
2015-02-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,81.13
2015-03-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,82.01
2015-04-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,82.03
2015-08-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,82.05
2015-08-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,82.05
2015-09-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,80.72
2015-09-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,80.72
2015-10-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.41
2015-10-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.41
2015-11-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.4
2015-11-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.4
2015-12-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.45
2016-01-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.53
2016-01-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.53
2016-02-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.53
2016-02-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.53
2016-03-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.38
2016-04-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,77.44
2016-05-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,79.25
2016-05-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,79.25
2016-06-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,88.47
2016-06-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,88.47
2016-07-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,67.61
2016-10-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,65.54
2016-11-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,62.13
2016-12-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,62.82
2017-01-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,65.46
2017-01-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,65.46
2017-02-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,66.35
2017-03-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,66.2
2017-03-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,66.2
2017-07-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,83.95
2017-07-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,83.95
2017-07-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,83.95
2017-07-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,83.95
2017-08-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,77.31
2017-09-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.08
2017-09-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.08
2017-10-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,80.47
2017-10-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,80.47
2017-10-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,80.47
2017-11-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,79.87
2017-11-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,79.87
2017-12-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,77.58
2018-03-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,79.8
2018-03-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,79.8
2018-05-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,78.61
2018-05-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,78.61
2018-05-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,78.61
2018-07-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,84.98
2018-07-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,84.98
2018-08-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,84.66
2018-09-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,73.72
2018-10-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,79.5
2018-11-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,81.78
2018-11-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,81.78
2018-12-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,80.1
2018-12-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,80.1
2019-01-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,66.38
2019-02-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,74.41
2019-03-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,68.64
2019-03-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,68.64
2019-04-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,73.69
2019-04-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,73.69
2019-06-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,74.07
2019-07-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,77.12
2019-09-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,74.21
2019-09-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,74.21
2019-10-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,75.18
2019-11-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,76.23
2019-12-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,69.63
2020-02-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,61.94
2020-02-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,61.94
2020-02-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,61.94
2020-03-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,58.82
2020-05-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,54.03
2020-06-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,55.56
2020-06-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,55.56
2020-09-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,65.67
2020-09-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,65.67
2020-10-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,68.06
2020-10-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,68.06
2020-12-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,68.3
2021-01-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,71.85
2021-01-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,71.85
2021-04-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,83.13
2021-06-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,82.83
2021-07-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,84.29
2021-07-15,Yobe-Damaturu-Damaturu-Groundnuts (shelled)-100 KG-Wholesale-NGN,84.29
